"","test"
"1","2 1 2.2244 2 0 0 2"
"2","2 1 0.9928000002 2 1 1 2"
"3","2 1 0.9395999999 2 0 0 2"
"4","2 1 1.8238 2 2 2 2"
"5","2 1 0.8702000003 2 1 1 2"
"6","2 1 0.8998000002 2 2 2 2"
"7","2 1 1.1403 2 0 0 2"
"8","2 0 0.6449000001 2 0 0 2"
"9","2 0 0.8585 2 1 1 2"
"10","2 1 0.8384000001 2 2 2 2"
"11","2 1 1.1549 2 2 2 2"
"12","2 1 0.9891000004 2 1 1 2"
"13","2 1 0.9412000003 2 0 0 2"
"14","2 1 1.2278 2 1 1 2"
"15","2 0 1.0105 2 2 2 2"
"16","2 1 0.5625999999 2 1 1 2"
"17","2 1 0.7470999999 2 0 0 2"
"18","2 0 0.5699000001 2 2 2 2"
"19","2 1 0.6935999999 2 3 0 1"
"20","2 1 0.7743000002 2 3 1 1"
"21","2 0 0.6953000002 2 3 0 1"
"22","2 1 0.5870999999 2 3 2 1"
"23","2 1 0.6618000002 2 3 0 1"
"24","2 0 1.4982 2 3 2 1"
"25","2 1 1.0977 2 3 1 1"
"26","2 0 0.7502999997 2 3 2 1"
"27","2 0 1.2774 2 3 1 1"
"28","2 1 0.743 2 3 1 1"
"29","2 1 1.4104 2 3 1 1"
"30","2 1 0.9324000001 2 3 0 1"
"31","2 0 0.7007000003 2 3 1 1"
"32","2 1 0.7317999997 2 3 0 1"
"33","2 0 1.4468 2 3 2 1"
"34","2 1 0.7237000003 2 3 1 1"
"35","2 0 0.8383000002 2 3 0 1"
"36","2 0 0.6575999999 2 3 0 1"
"37","2 0 1.9541 2 3 0 1"
"38","2 0 1.4675 2 3 2 1"
"39","2 1 0.6911999998 2 3 2 1"
"40","2 1 0.7290999999 2 3 2 1"
"41","2 1 0.8177000003 2 3 1 1"
"42","2 0 0.5950999999 2 3 0 1"
"43","2 1 0.6243999996 2 3 2 1"
"44","2 1 0.6922000003 2 3 0 1"
"45","2 0 1.4153 2 3 1 1"
"46","2 0 0.6346999998 2 3 0 1"
"47","2 1 0.6508000002 2 3 1 1"
"48","2 1 0.6663000002 2 3 2 1"
"49","2 1 0.6822000003 2 3 0 1"
"50","2 1 0.729 2 3 2 1"
"51","2 1 0.5300999999 2 3 1 1"
"52","2 0 0.6090999999 2 3 2 1"
"53","2 1 0.7946999998 2 3 1 1"
"54","2 1 1.3459 2 3 2 1"
